 What is your age? ,What is your gender?  , What is your occupation?   , How many hours do you play video games per day on average?  ,How many days per week do you play games?  , What type of games do you mostly play?  ,Do you often lose track of time while gaming?  ,Have you ever skipped meals or sleep due to gaming?   ,Have others ever expressed concern about your gaming habits?  ,"On a scale of 1 to 10, how stressed do you feel on average?  ","On a scale of 1 to 10, how anxious do you feel regularly?  ","On average, how many hours of sleep do you get per night?  ",How often do you feel socially withdrawn or isolated?  ,Have you ever felt guilty or depressed after long gaming sessions?  ,Do you think gaming helps you cope with stress or emotional issues?  ,Do you consent to your responses being used anonymously for academic research?   
19,Female,Kindergarten Teacher,3,7,FPS,Yes,No,Yes,6,4,6.1,Rarely,Yes,No,Yes
23,Male,Social Worker,1,4,Racing,No,Yes,Yes,7,6,4.6,Always,No,Yes,Yes
19,Male,Student,3,7,Casual,No,Yes,No,8,9,6.2,Sometimes,No,Yes,Yes
24,Female,Kindergarten Teacher,5,1,Simulation,Yes,Yes,No,2,8,6.8,Rarely,No,Yes,Yes
22,Female,Student,4,1,Educational,No,Yes,Yes,8,7,6.1,Sometimes,No,No,Yes
22,Male,Industrial Designer,4,1,Simulation,Yes,No,Yes,6,6,6.6,Sometimes,No,Yes,Yes
19,Male,HS Junior,2,7,Puzzle,No,Yes,Yes,10,6,3.9,Sometimes,No,Yes,Yes
19,Female,Construction Supervisor,2,5,Racing,No,Yes,Yes,2,6,6.0,Sometimes,Yes,No,Yes
20,Female,Construction Worker,6,5,MMO,Yes,Yes,Yes,5,6,3.6,Sometimes,Yes,Yes,Yes
26,Male,Lawyer,6,7,FPS,Yes,No,No,8,9,5.5,Often,No,Yes,Yes
17,Male,Electrician Lead,9,6,FPS,Yes,Yes,No,5,7,5.7,Sometimes,No,No,Yes
23,Male,Student,4,6,Simulation,Yes,Yes,Yes,8,1,7.9,Often,Yes,No,Yes
17,Male,Auto Mechanic Lead,3,5,Simulation,Yes,No,No,3,5,6.2,Rarely,Yes,No,Yes
22,Female,High School Sophomore,1,4,Action,Yes,No,No,4,10,6.0,Often,Yes,No,Yes
18,Male,HS Junior,7,1,Educational,Yes,Yes,Yes,5,4,3.6,Often,Yes,Yes,Yes
19,Male,Facilities Manager,2,5,Action,Yes,Yes,No,9,8,5.9,Rarely,Yes,No,Yes
25,Male,Student,3,4,Sports,Yes,No,Yes,6,7,7.2,Always,Yes,No,Yes
19,Female,Student,2,6,Educational,Yes,Yes,No,7,2,8.3,Sometimes,Yes,No,Yes
21,Female,Medical Assistant,6,5,Racing,Yes,No,Yes,7,2,6.0,Sometimes,Yes,No,Yes
18,Male,Surgeon,1,6,Strategy,Yes,No,Yes,2,5,6.7,Often,Yes,No,Yes
17,Male,Student,1,4,Action,Yes,Yes,No,6,6,8.1,Sometimes,No,No,Yes
25,Male,Student,1,1,MMO,No,No,Yes,8,4,1.4,Often,Yes,Yes,Yes
22,Female,Doctor,3,3,Casual,Yes,No,Yes,8,8,5.9,Sometimes,No,Yes,Yes
19,Female,Astrophysicist,4,7,Action,Yes,Yes,Yes,8,2,6.1,Never,Yes,No,Yes
21,Female,Student,1,6,FPS,Yes,Yes,Yes,6,4,2.5,Often,No,Yes,Yes
18,Female,High School Student,4,6,Visual Novel,Yes,No,No,10,2,6.2,Sometimes,No,No,Yes
22,Male,Plumber,5,6,Battle Royale,No,Yes,No,8,8,6.0,Often,Yes,No,Yes
21,Female,Drink,2,2,MMO,Yes,No,Yes,3,7,8.5,Sometimes,No,No,Yes
23,Male,Cognitive Psych Student,5,5,MMO,Yes,Yes,No,3,6,6.0,Rarely,Yes,No,Yes
19,Female,Student,2,6,Sports,Yes,Yes,No,8,4,6.9,Never,No,Yes,Yes
20,Prefer not to say,Student,6,4,FPS,No,No,Yes,2,7,3.3,Always,No,Yes,Yes
21,Male,Student,2,6,Simulation,Yes,Yes,Yes,3,6,5.4,Sometimes,Yes,Yes,Yes
21,Female,Surgeon,2,7,Strategy,Yes,Yes,Yes,8,4,8.0,Often,Yes,Yes,Yes
21,Male,Orthodontist,1,6,Puzzle,Yes,No,No,5,7,3.6,Sometimes,Yes,No,Yes
18,Female,Vet Tech,4,6,Simulation,Yes,No,Yes,6,6,8.6,Sometimes,Yes,Yes,Yes
24,Female,Maintenance Tech,4,3,MMO,No,No,Yes,7,7,5.8,Often,Yes,No,Yes
25,Male,HS Senior,4,4,Strategy,Yes,No,No,7,8,7.7,Often,Yes,No,Yes
24,Male,Student,4,4,Adventure,Yes,Yes,Yes,7,6,7.6,Often,Yes,No,Yes
21,Female,Student,1,7,Educational,Yes,No,Yes,2,10,6.3,Always,Yes,No,Yes
20,Female,Manager at a Gaming Cafe,4,5,Educational,Yes,No,Yes,5,2,6.0,Sometimes,No,Yes,Yes
22,Male,Student,1,5,Casual,Yes,No,No,7,6,7.9,Often,Yes,No,Yes
28,Prefer not to say,Software Engineer,7,2,Strategy,Yes,Yes,Yes,1,7,5.9,Often,No,Yes,Yes
19,Male,Journalism Student,2,7,Racing,Yes,No,No,6,1,5.9,Often,Yes,No,Yes
18,Male,Delivery Manager,4,3,Racing,No,No,Yes,7,6,6.0,Sometimes,Yes,No,Yes
24,Female,Teacher Assistant,1,6,FPS,No,No,No,6,2,5.4,Often,No,No,Yes
22,Female,Student,2,5,Strategy,No,Yes,No,6,5,6.1,Sometimes,Yes,No,Yes
18,Male,Receptionist,1,7,Strategy,Yes,Yes,Yes,10,1,6.1,Sometimes,Yes,No,Yes
28,Female,Dental Office Asst,2,6,Simulation,Yes,Yes,No,7,3,5.9,Sometimes,Yes,Yes,Yes
22,Male,Student,1,5,RPG,Yes,Yes,No,4,6,7.5,Often,No,Yes,Yes
19,Female,Truck Driver,4,7,Simulation,Yes,No,No,2,5,3.9,Often,Yes,No,Yes
19,Male,Auto Body Technician,2,7,FPS,Yes,Yes,No,2,2,8.2,Sometimes,Yes,No,Yes
21,Prefer not to say,Student,2,1,Educational,Yes,No,Yes,5,1,6.1,Rarely,Yes,Yes,Yes
17,Male,Student,1,7,Rhythm,Yes,Yes,Yes,6,6,6.3,Sometimes,No,Yes,No
26,Male,Fast Food Employee,2,6,Strategy,Yes,Yes,Yes,5,5,5.3,Never,No,No,Yes
20,Male,Delivery Driver,3,3,RPG,Yes,No,Yes,4,6,6.2,Often,Yes,No,Yes
22,Male,Aerospace Engineer,3,6,MMO,Yes,No,Yes,3,6,1.4,Sometimes,Yes,No,Yes
20,Female,Student,1,3,Battle Royale,No,Yes,Yes,7,6,6.3,Often,Yes,No,Yes
31,Prefer not to say,Delivery Manager,7,6,Racing,Yes,Yes,No,6,5,5.9,Always,No,Yes,Yes
19,Male,Teacher,6,6,Creative,Yes,No,No,2,6,6.3,Often,No,No,Yes
27,Female,College Student,3,6,Action,Yes,Yes,No,3,6,4.9,Often,Yes,No,Yes
21,Female,Receptionist,3,4,Simulation,No,No,No,7,7,6.0,Never,Yes,No,Yes
23,Male,Truck Driver,2,3,Creative,Yes,Yes,Yes,4,1,4.1,Sometimes,Yes,No,Yes
19,Female,Golf Course Superintendent,1,4,Casual,Yes,No,No,8,1,6.1,Sometimes,No,Yes,Yes
21,Female,College Sophomore,1,6,Sports,Yes,No,Yes,6,6,6.3,Never,Yes,No,Yes
22,Female,College Dropout,4,2,Battle Royale,Yes,No,No,5,2,7.4,Often,No,No,Yes
18,Prefer not to say,Designer,5,3,Simulation,No,Yes,Yes,5,4,7.4,Rarely,Yes,No,Yes
23,Male,Paralegal,1,6,FPS,Yes,Yes,No,3,6,7.0,Sometimes,No,Yes,Yes
26,Female,Journalism Student,4,4,Simulation,No,No,Yes,5,1,8.0,Often,Yes,No,Yes
21,Prefer not to say,Student,5,6,Racing,Yes,Yes,Yes,5,7,5.1,Never,Yes,Yes,Yes
20,Female,Nanny,7,5,Strategy,Yes,Yes,No,2,10,5.7,Never,Yes,Yes,Yes
21,Male,Hedge Fund Manager,3,3,Racing,No,No,No,10,8,6.0,Often,Yes,Yes,Yes
20,Female,Nurse Practitioner,2,1,FPS,Yes,No,No,1,7,5.2,Rarely,No,Yes,Yes
21,Female,Student,3,6,Simulation,Yes,No,Yes,2,8,5.3,Never,No,Yes,Yes
17,Male,IT Systems Admin,5,4,Sports,Yes,Yes,No,8,5,5.3,Often,Yes,No,Yes
17,Male,IT Director,4,2,Adventure,Yes,Yes,No,7,4,6.7,Always,Yes,Yes,Yes
21,Male,Designer,2,6,Rhythm,Yes,Yes,No,3,6,5.3,Often,Yes,No,Yes
22,Male,Student,2,7,Simulation,Yes,Yes,No,6,3,3.7,Rarely,Yes,Yes,Yes
17,Male,Paralegal,2,6,Casual,Yes,No,No,7,1,6.2,Sometimes,Yes,No,Yes
18,Male,Student,9,2,Rhythm,Yes,Yes,No,9,6,6.0,Never,No,Yes,Yes
21,Female,College Student,6,2,Simulation,Yes,No,No,10,2,6.1,Often,No,Yes,Yes
19,Male,Teacher,1,6,Battle Royale,Yes,Yes,Yes,4,8,6.0,Rarely,No,No,Yes
18,Female,HS Junior,2,7,RPG,Yes,Yes,Yes,8,4,5.3,Always,No,Yes,Yes
25,Male,Psychology Student,3,1,Action,Yes,No,Yes,6,4,5.0,Often,Yes,No,Yes
20,Male,Student,4,6,Sports,No,Yes,Yes,5,1,7.6,Rarely,Yes,No,Yes
24,Male,Designer,1,2,Simulation,Yes,Yes,Yes,6,8,4.7,Sometimes,Yes,No,Yes
20,Male,Student,2,3,MMO,Yes,Yes,No,2,8,7.9,Sometimes,No,No,Yes
27,Female,Plumber,5,3,FPS,Yes,No,Yes,5,6,5.8,Sometimes,Yes,No,Yes
18,Female,Student,5,4,Puzzle,Yes,Yes,No,4,7,6.3,Often,No,No,Yes
18,Female,Pediatric Nurse,4,7,Visual Novel,Yes,Yes,Yes,2,7,8.5,Always,Yes,No,Yes
20,Female,HS Senior,3,6,Casual,Yes,Yes,Yes,9,8,6.1,Never,Yes,Yes,Yes
21,Male,Software Developer,5,7,Battle Royale,No,Yes,No,2,3,6.1,Rarely,No,No,Yes
21,Female,Pharmacy Tech,4,6,Sports,Yes,No,No,3,4,7.8,Often,No,No,Yes
26,Female,Neuroscience Researcher,1,1,Creative,No,No,Yes,3,7,4.9,Rarely,Yes,Yes,Yes
26,Male,HS Junior,2,2,Sports,Yes,No,No,5,1,6.0,Often,No,Yes,Yes
26,Male,Accountant,2,5,Sports,Yes,Yes,Yes,4,6,4.6,Often,Yes,No,Yes
23,Male,Student,4,1,Multiplayer,Yes,No,Yes,7,5,5.9,Often,Yes,Yes,Yes
28,Female,Student,1,2,Creative,Yes,No,No,5,6,5.6,Often,Yes,Yes,Yes
24,Male,Student,6,7,FPS,Yes,Yes,No,5,4,4.5,Always,Yes,No,Yes
30,Male,Music Student,2,6,FPS,Yes,No,Yes,10,6,7.4,Sometimes,Yes,Yes,Yes
23,Male,Student,5,7,FPS,Yes,Yes,Yes,3,6,7.9,Sometimes,Yes,No,Yes
24,Prefer not to say,Student,4,6,Strategy,No,Yes,Yes,8,1,6.4,Sometimes,No,No,Yes
25,Male,Pediatric Nurse,3,7,Strategy,Yes,No,No,2,5,3.5,Often,Yes,No,Yes
23,Male,Social Worker,2,4,Creative,Yes,Yes,No,5,4,7.3,Sometimes,Yes,No,Yes
20,Male,Student,1,7,Sports,Yes,Yes,Yes,8,7,4.3,Never,Yes,No,Yes
21,Male,Research Assistant,2,7,Action,Yes,No,Yes,4,7,6.3,Never,Yes,No,Yes
19,Female,Kindergarten Teacher,2,4,Creative,No,Yes,Yes,2,6,5.7,Sometimes,No,Yes,Yes
22,Male,Barista,6,5,MMO,Yes,Yes,Yes,10,1,8.1,Rarely,Yes,Yes,Yes
21,Male,Marketing Assistant,5,3,Puzzle,Yes,No,No,10,1,7.6,Often,No,Yes,Yes
22,Male,Golf Course Superintendent,5,2,Educational,Yes,Yes,Yes,9,6,8.0,Often,Yes,Yes,Yes
23,Male,Graphic designer,1,3,Strategy,Yes,No,No,7,1,5.8,Often,Yes,No,Yes
18,Male,Student,5,7,RPG,Yes,Yes,No,10,3,6.2,Often,Yes,Yes,Yes
26,Male,Art Gallery Intern,7,7,Strategy,Yes,Yes,Yes,6,1,3.2,Sometimes,Yes,Yes,Yes
25,Female,Truck Driver,4,6,RPG,Yes,Yes,No,7,5,4.2,Always,Yes,No,Yes
19,Male,Unemployed,6,4,Puzzle,Yes,No,No,10,7,5.9,Sometimes,Yes,Yes,Yes
22,Female,Biology Researcher,4,6,Strategy,Yes,No,Yes,5,1,5.5,Often,Yes,No,Yes
20,Male,Art Gallery Assistant,7,2,FPS,Yes,No,Yes,8,7,6.1,Rarely,No,No,Yes
22,Male,Neurosurgeon,1,3,Action,Yes,Yes,Yes,2,2,5.6,Always,Yes,Yes,Yes
22,Female,Student,5,4,Casual,Yes,Yes,No,10,5,6.1,Often,Yes,Yes,Yes
18,Male,Private Equity Partner,5,6,Adventure,Yes,No,No,7,5,8.2,Always,Yes,No,Yes
17,Female,Fast Food Worker,1,2,Educational,Yes,No,No,9,4,3.0,Never,Yes,Yes,Yes
20,Male,HS Junior,3,6,FPS,Yes,No,Yes,10,6,8.5,Sometimes,Yes,No,Yes
23,Male,College Junior,6,4,Strategy,Yes,No,Yes,7,4,6.1,Sometimes,Yes,No,Yes
20,Female,Kindergarten Teacher,1,7,Puzzle,Yes,No,Yes,7,8,7.0,Often,Yes,Yes,No
19,Female,Computer Science Major,3,7,Other,Yes,No,No,3,7,6.1,Sometimes,No,Yes,Yes
19,Male,Student,1,7,FPS,No,Yes,Yes,2,7,7.2,Never,Yes,No,Yes
23,Female,Student,9,6,Action,No,No,No,6,8,6.2,Often,Yes,No,Yes
17,Female,Student,5,7,Educational,Yes,Yes,No,3,6,7.2,Sometimes,Yes,Yes,Yes
19,Female,Music Store Clerk,1,7,Racing,Yes,Yes,Yes,9,5,7.7,Always,Yes,No,Yes
23,Female,HR Assistant,1,1,Battle Royale,Yes,Yes,No,6,5,4.4,Never,Yes,Yes,Yes
21,Male,Designer,9,4,Rhythm,Yes,Yes,No,5,8,5.8,Often,Yes,Yes,Yes
17,Male,Auto Mechanic Lead,3,5,Sports,Yes,Yes,Yes,9,3,3.3,Sometimes,Yes,Yes,Yes
19,Female,Construction Supervisor,2,2,Casual,No,No,No,6,5,5.8,Often,No,No,Yes
18,Male,College Student,3,1,Puzzle,Yes,Yes,No,5,4,6.2,Sometimes,Yes,No,Yes
18,Male,Art Student,5,6,Puzzle,Yes,Yes,No,4,4,5.9,Often,Yes,No,Yes
21,Female,Student,3,7,Action,Yes,Yes,Yes,2,1,8.4,Often,Yes,No,Yes
24,Female,Marketing Assistant,1,4,Action,Yes,Yes,No,6,7,8.8,Never,Yes,No,Yes
21,Female,Student,1,3,Adventure,Yes,Yes,Yes,5,1,5.1,Rarely,Yes,No,Yes
23,Male,Librarian,4,1,Battle Royale,Yes,Yes,Yes,8,7,7.2,Sometimes,Yes,No,No
25,Male,Student,2,7,Racing,Yes,Yes,Yes,8,6,6.0,Sometimes,No,No,Yes
20,Male,College Student,3,6,FPS,Yes,Yes,No,7,3,7.2,Never,Yes,No,Yes
21,Male,Psychology Researcher,5,6,Casual,Yes,Yes,Yes,5,8,4.8,Sometimes,Yes,No,Yes
23,Female,Journalism Student,7,4,Strategy,Yes,Yes,No,9,3,4.9,Often,Yes,Yes,Yes
21,Male,Social Worker,3,7,Strategy,Yes,Yes,Yes,6,1,3.9,Sometimes,No,No,Yes
20,Female,Student,1,7,Rhythm,Yes,Yes,Yes,2,7,7.0,Always,Yes,Yes,Yes
22,Female,Marketing Director,6,7,FPS,No,Yes,No,7,8,6.1,Always,Yes,No,Yes
20,Male,Preschool Director,2,1,Action,Yes,No,No,4,9,7.3,Always,Yes,No,Yes
25,Male,Student,1,7,FPS,No,No,Yes,9,7,6.1,Often,Yes,No,Yes
19,Male,Master Electrician,4,4,Casual,Yes,Yes,No,9,5,4.6,Never,Yes,No,Yes
19,Male,Student,3,5,Action,Yes,Yes,No,9,4,7.2,Rarely,Yes,Yes,Yes
20,Female,Pediatric Nurse,1,1,FPS,Yes,No,No,9,8,8.3,Often,No,No,Yes
21,Male,Electrician Supervisor,7,7,Battle Royale,Yes,Yes,No,2,2,5.0,Never,No,Yes,Yes
27,Male,Student,8,6,FPS,Yes,Yes,Yes,9,2,5.9,Sometimes,Yes,No,Yes
19,Male,Auto Body Technician,1,3,Casual,Yes,Yes,Yes,8,7,5.9,Rarely,Yes,No,Yes
27,Male,Accountant,4,7,Sports,Yes,No,No,10,8,6.2,Rarely,No,Yes,Yes
18,Male,Student,5,7,Casual,Yes,Yes,Yes,3,6,2.9,Sometimes,Yes,No,Yes
27,Female,HS Junior,1,3,Puzzle,Yes,No,Yes,3,2,5.2,Never,No,No,Yes
21,Female,Student,4,5,Creative,No,No,No,8,2,6.9,Often,No,Yes,Yes
19,Male,Teacher,1,3,Visual Novel,Yes,No,No,3,8,5.1,Always,No,No,Yes
19,Male,Student,2,6,Action,Yes,No,No,2,5,5.7,Sometimes,No,Yes,Yes
17,Male,Pediatric Nurse,6,7,MMO,No,No,Yes,4,6,3.6,Sometimes,No,Yes,Yes
22,Female,Operations Manager,1,7,Sports,Yes,No,Yes,8,5,8.0,Often,Yes,No,No
26,Male,Lawyer,9,4,Puzzle,Yes,Yes,No,7,4,8.2,Sometimes,Yes,No,Yes
20,Female,Veterinarian,5,4,Sports,Yes,Yes,Yes,9,4,8.1,Often,Yes,Yes,Yes
21,Male,Construction Foreman,4,5,FPS,Yes,Yes,No,7,8,3.8,Sometimes,Yes,No,Yes
19,Male,Student,3,5,Sports,Yes,Yes,Yes,9,4,6.4,Often,Yes,No,Yes
18,Female,Construction Manager,6,1,Strategy,Yes,Yes,Yes,6,9,5.1,Sometimes,Yes,No,Yes
22,Female,Student,3,6,Simulation,Yes,No,Yes,9,9,5.8,Often,Yes,Yes,Yes
20,Male,HS Senior,3,1,RPG,Yes,No,No,9,1,6.0,Sometimes,Yes,No,Yes
21,Male,Student,2,5,Battle Royale,No,Yes,Yes,3,7,6.2,Often,Yes,No,Yes
25,Male,Student,7,6,Simulation,Yes,No,Yes,6,8,6.3,Always,Yes,No,No
21,Male,Student,2,5,Simulation,No,No,Yes,7,7,8.4,Often,No,No,Yes
23,Male,Bank Teller,5,4,Strategy,No,No,Yes,9,9,5.3,Sometimes,Yes,No,Yes
24,Female,Art Gallery Assistant,1,2,Educational,Yes,No,Yes,4,4,5.9,Always,No,No,Yes
18,Female,High School Sophomore,6,3,Strategy,Yes,No,Yes,6,9,5.1,Never,No,No,No
24,Female,Game Design Student,4,6,Educational,Yes,No,No,3,6,6.2,Sometimes,Yes,Yes,Yes
22,Male,Student,2,4,Simulation,Yes,No,Yes,6,6,8.5,Often,No,No,Yes
25,Female,Engineer,1,6,Action,Yes,No,No,5,4,7.0,Sometimes,No,No,Yes
17,Female,Delivery Driver,1,4,Sports,Yes,Yes,Yes,6,7,3.1,Sometimes,No,Yes,Yes
23,Female,Aerospace Engineer,6,1,Casual,Yes,No,Yes,2,6,5.8,Sometimes,No,Yes,Yes
21,Male,Master Electrician,4,1,Sports,Yes,Yes,Yes,8,8,6.2,Never,No,No,Yes
20,Male,Nurse,4,1,Educational,Yes,Yes,No,8,6,4.4,Sometimes,No,Yes,Yes
21,Male,Designer,3,6,Action,Yes,Yes,Yes,7,3,6.1,Rarely,Yes,No,Yes
22,Male,Student,1,6,Simulation,Yes,No,Yes,7,5,7.2,Often,Yes,No,Yes
19,Male,Pediatric Nurse,1,1,Action,Yes,Yes,No,7,3,5.1,Always,No,Yes,Yes
17,Female,Pharmacist,1,6,Strategy,Yes,Yes,No,6,6,7.6,Often,Yes,No,Yes
24,Male,Esports Aspirant,1,6,Strategy,Yes,Yes,No,6,7,4.2,Rarely,No,No,Yes
20,Female,Automotive Engineer,4,6,Sports,Yes,No,Yes,3,4,8.3,Rarely,Yes,No,Yes
21,Male,Cardiologist,7,2,Strategy,Yes,No,Yes,7,9,5.4,Always,Yes,Yes,Yes
23,Prefer not to say,Degree finish,5,3,Sports,Yes,Yes,Yes,8,9,6.4,Often,Yes,No,Yes
26,Male,Engineer,3,6,Casual,Yes,Yes,No,7,4,7.0,Often,Yes,No,Yes
26,Male,Graphic designer,2,1,Strategy,No,No,Yes,8,3,7.8,Always,Yes,No,Yes
24,Female,Student,6,7,Casual,Yes,Yes,No,7,6,8.6,Often,Yes,No,Yes
19,Male,Plumber,7,4,Casual,No,Yes,Yes,10,6,3.0,Sometimes,Yes,Yes,Yes
17,Male,Cashier,2,7,Sports,Yes,Yes,Yes,3,8,6.2,Never,Yes,No,Yes
17,Male,Student,1,4,Action,Yes,Yes,No,8,7,6.8,Often,Yes,Yes,Yes
21,Male,HS Senior,1,5,Creative,Yes,Yes,Yes,5,3,6.1,Often,Yes,Yes,Yes
20,Male,Student,1,1,Simulation,Yes,Yes,No,7,2,5.9,Often,Yes,Yes,Yes
17,Male,Janitor,2,7,Sports,Yes,Yes,No,9,8,3.5,Rarely,Yes,Yes,Yes
20,Male,Student,4,6,Strategy,Yes,Yes,Yes,9,6,8.3,Rarely,No,No,Yes
22,Female,Social Worker,2,7,Educational,Yes,No,No,3,1,5.7,Never,Yes,No,Yes
22,Male,Construction Apprentice,3,6,RPG,Yes,No,Yes,8,8,3.7,Often,Yes,Yes,Yes
19,Male,Student,4,4,Other,Yes,Yes,Yes,7,8,1.5,Sometimes,Yes,Yes,Yes
19,Male,Special Ed Teacher,1,4,Simulation,Yes,No,No,3,2,6.3,Often,No,No,Yes
22,Male,Fast Food Worker,5,7,Action,Yes,Yes,No,3,6,7.9,Always,Yes,No,Yes
18,Male,Physics Major,4,7,Racing,Yes,No,Yes,3,4,6.3,Often,Yes,No,Yes
20,Male,Chief Technology Officer,4,7,RPG,No,Yes,Yes,7,2,6.3,Rarely,Yes,No,Yes
19,Male,Student,2,5,Racing,No,No,No,3,3,6.1,Often,Yes,No,No
23,Male,Student,4,1,Creative,Yes,No,No,5,8,5.8,Often,No,No,Yes
23,Female,Engineer,4,1,FPS,No,No,No,9,8,7.1,Often,Yes,Yes,Yes
28,Female,Auto Dealership Manager,4,3,MMO,Yes,Yes,Yes,3,1,5.8,Often,No,No,Yes
27,Male,Social Worker,4,5,Casual,Yes,Yes,Yes,4,5,5.3,Sometimes,No,No,Yes
24,Male,Delivery Manager,1,3,Educational,Yes,No,No,7,7,4.5,Sometimes,Yes,Yes,Yes
18,Male,Construction Worker,1,7,Educational,Yes,Yes,Yes,10,6,8.3,Often,Yes,Yes,Yes
21,Male,Brand Strategist,3,6,Simulation,No,No,No,3,7,8.2,Often,No,Yes,Yes
25,Female,Student,6,3,Strategy,Yes,Yes,No,7,5,5.4,Sometimes,No,No,Yes
17,Male,Student,4,4,Action,Yes,No,Yes,7,8,8.4,Often,Yes,No,Yes
19,Prefer not to say,Janitor,2,4,Visual Novel,Yes,Yes,No,7,4,4.6,Sometimes,Yes,No,Yes
18,Male,High School Senior,1,3,Strategy,Yes,Yes,No,7,3,4.8,Sometimes,Yes,Yes,Yes
22,Male,Doctor,1,7,Creative,Yes,No,Yes,5,5,6.1,Often,Yes,No,Yes
23,Male,Teacher,4,4,Action,Yes,No,Yes,9,1,7.3,Often,Yes,No,Yes
